state,district,anaemia_pregnant_pct,antenatal_first_trimester_pct,institutional_births_pct,postnatal_care_pct,underweight_pct,hri_normalised,hri_score,hri_category,intrastate_rank
Sikkim,East District,,53.4,91.8,65.8,13.0,0.662438886,2,low,3
Sikkim,South District,,78.1,97.4,83.1,7.2,0.686801697,3,moderate,2
Sikkim,West District,,75.8,99.3,63.6,19.3,0.691990326,3,moderate,1
Telangana,Adilabad,61.0,89.7,94.1,83.4,52.0,0.850566865,5,Very high,6
Telangana,Bhadradri Kothagudem,50.6,92.8,97.4,87.1,25.3,0.768957018,3,moderate,24
Telangana,Hyderabad,,87.9,98.3,91.2,18.9,0.808575625,4,High,16
Telangana,Jagitial,,94.6,94.4,84.1,32.3,0.886129632,5,Very high,1
Telangana,Jangoan,,89.7,99.6,85.6,30.9,0.758870527,3,moderate,27
Telangana,Jogulamba Gadwal,76.9,88.3,94.2,88.3,41.7,0.796735569,4,High,22
Telangana,Kamareddy,,87.5,97.1,86.8,43.9,0.83214539,4,High,12
Telangana,Karimnagar,61.0,92.3,98.4,89.5,27.5,0.871888737,5,Very high,2
Telangana,Khammam,68.8,84.9,97.9,93.2,26.2,0.798545892,4,High,21
Telangana,Mahabubabad,54.1,87.8,97.7,91.5,26.3,0.729745631,3,moderate,32
Telangana,Mahabubnagar,44.9,86.2,98.1,84.9,33.0,0.832973412,4,High,10
Telangana,Mancherial,,86.7,90.1,87.7,27.4,0.832772136,4,High,11
Telangana,Medak,,78.9,98.9,80.8,42.0,0.86449094,5,Very high,4
Telangana,Nagarkurnool,,92.4,98.0,90.3,30.9,0.766134622,3,moderate,25
Telangana,Nalgonda,58.3,90.5,98.3,92.2,28.0,0.757846518,3,moderate,29
Telangana,Nirmal,47.2,85.2,96.7,87.2,33.4,0.848553429,5,Very high,8
Telangana,Nizamabad,38.9,87.9,97.3,79.5,38.4,0.869406228,5,Very high,3
Telangana,Peddapalli,,83.5,96.5,87.6,33.1,0.849280815,5,Very high,7
Telangana,Rajanna Sircilla,36.6,90.4,97.6,89.9,26.1,0.843227858,5,Very high,9
Telangana,Ranga Reddy,44.8,95.5,97.2,89.8,29.5,0.825154815,4,High,14
Telangana,Sangareddy,63.9,82.8,93.0,84.7,35.1,0.852606011,5,Very high,5
Telangana,Siddipet,,86.1,99.7,74.1,29.6,0.805628253,4,High,17
Telangana,Suryapet,39.8,92.7,95.9,88.6,30.1,0.734117711,3,moderate,31
Telangana,Vikarabad,,78.0,95.0,80.8,37.1,0.82789539,4,High,13
Telangana,Wanaparthy,63.5,91.4,99.0,87.6,33.2,0.804982506,4,High,19
Telangana,Warangal Rural,61.5,86.8,100.0,93.8,37.9,0.762102218,3,moderate,26
Telangana,Warangal Urban,,88.4,99.7,92.6,36.0,0.802655082,4,High,20
Telangana,Yadadri Bhuvanagiri,38.5,92.1,97.7,93.2,27.2,0.758144938,3,moderate,28
Tripura,Dhalai,75.4,58.1,87.3,72.4,27.6,0.734473181,3,moderate,5
Tripura,Gomati,52.8,54.0,93.2,66.3,29.0,0.67882964,3,moderate,7
Tripura,Khowai,63.7,57.2,95.7,59.7,24.7,0.76910929,3,moderate,4
Tripura,North Tripura,55.3,75.5,85.4,76.6,32.2,0.79984455,4,High,1
Tripura,South Tripura,57.1,54.2,89.7,68.0,21.6,0.656084734,2,low,8
Tripura,West Tripura,56.2,78.7,95.3,87.7,21.2,0.783710477,4,High,3
West Bengal,Bankura,71.3,74.7,93.3,67.2,38.8,0.782579,4,High,6
West Bengal,Birbhum,66.0,81.9,90.3,67.5,41.8,0.746812,3,moderate,12
West Bengal,Dakshin Dinajpur,61.4,70.9,91.4,83.2,30.2,0.731463,3,moderate,14
West Bengal,Jalpaiguri,44.8,77.5,95.8,74.8,25.4,0.478387,2,low,21
West Bengal,Kolkata,,74.2,97.5,72.8,32.9,0.796712,4,High,3
West Bengal,Maldah,67.6,77.8,87.7,61.6,35.3,0.711992,3,moderate,17
West Bengal,Murshidabad,66.7,73.9,87.0,49.8,32.4,0.71862,3,moderate,16
West Bengal,Nadia,58.7,61.1,97.7,89.4,25.1,0.754871,3,moderate,11
West Bengal,Purba Medinipur,66.4,69.3,91.5,48.5,30.6,0.783574,4,High,5
West Bengal,Puruliya,72.2,59.1,89.8,51.5,46.3,0.785942,4,High,4
West Bengal,Uttar Dinajpur,84.4,76.6,76.9,60.9,32.0,0.694725,3,moderate,18
